id,tic,seed,period_days,epoch_btjd,radius_earth,depth,duration_days,status,recovered_in_top3,recovered_in_search,maximum_trial_fits,recovered_with_strict_holdout,elapsed_seconds
219223742_orbit0_radius0.8,219223742,20260907,7.105978756407755,1389.745441300237,0.8,0.0029449997446145395,0.03274719898286145,finished,True,True,,True,3.4619346249382943
219223742_orbit0_radius1,219223742,20260907,7.105978756407755,1389.745441300237,1.0,0.0046015621009602185,0.0331686499738599,finished,True,True,,True,3.449437208008021
219223742_orbit0_radius1.5,219223742,20260907,7.105978756407755,1389.745441300237,1.5,0.010353514727160493,0.03422228421197332,finished,True,True,,True,7.211429791990668
219223742_orbit1_radius0.8,219223742,20260907,11.844542916617902,1391.9623004221853,0.8,0.0029449997446145395,0.03882656456290096,finished,True,True,,True,7.293670917162672
219223742_orbit1_radius1,219223742,20260907,11.844542916617902,1391.9623004221853,1.0,0.0046015621009602185,0.039326232530344854,finished,True,True,,False,3.6593174170702696
219223742_orbit1_radius1.5,219223742,20260907,11.844542916617902,1391.9623004221853,1.5,0.010353514727160493,0.040575406504025635,finished,True,True,,True,3.630709833931178
219223742_orbit2_radius0.8,219223742,20260907,9.0137569855672,1389.8384593348326,0.8,0.0029449997446145395,0.03544834590240368,finished,True,True,,True,8.130715917097405
219223742_orbit2_radius1,219223742,20260907,9.0137569855672,1389.8384593348326,1.0,0.0046015621009602185,0.03590454842941442,finished,True,True,,True,3.8127026669681072
219223742_orbit2_radius1.5,219223742,20260907,9.0137569855672,1389.8384593348326,1.5,0.010353514727160493,0.037045060076030506,finished,True,True,,True,4.019720582989976
232970271_orbit0_radius0.8,232970271,20260907,4.03943712007846,1871.890350201205,0.8,0.00460156210096022,0.02351299593391955,finished,False,False,,False,1.5016318748239428
232970271_orbit0_radius1,232970271,20260907,4.03943712007846,1871.890350201205,1.0,0.0071899407827503425,0.02388647188762908,finished,False,False,,False,1.540590082993731
232970271_orbit0_radius1.5,232970271,20260907,4.03943712007846,1871.890350201205,1.5,0.01617736676118827,0.024820173621625315,finished,False,False,,False,1.5252300419379026
232970271_orbit1_radius0.8,232970271,20260907,6.66636591761839,1876.8383967965701,0.8,0.00460156210096022,0.027785294707574015,finished,False,False,,False,1.5543067089747638
232970271_orbit1_radius1,232970271,20260907,6.66636591761839,1876.8383967965701,1.0,0.0071899407827503425,0.0282265983098788,finished,False,False,,False,1.6134515840094537
232970271_orbit1_radius1.5,232970271,20260907,6.66636591761839,1876.8383967965701,1.5,0.01617736676118827,0.029329864493442225,finished,False,False,,False,1.627698166994378
232970271_orbit2_radius0.8,232970271,20260907,9.06374817657032,1871.506508360343,0.8,0.00460156210096022,0.03078097271531061,finished,False,False,,False,1.625789624871686
232970271_orbit2_radius1,232970271,20260907,9.06374817657032,1871.506508360343,1.0,0.0071899407827503425,0.03126984274579626,finished,False,False,,False,1.617504124995321
232970271_orbit2_radius1.5,232970271,20260907,9.06374817657032,1871.506508360343,1.5,0.01617736676118827,0.032492023100628764,finished,False,False,,False,1.5239727499429137
397098265_orbit0_radius0.8,397098265,20260907,11.946467204509844,1992.8488207599871,0.8,0.0026996941977566525,0.04001769609361871,finished,True,True,,False,2.385921207955107
397098265_orbit0_radius1,397098265,20260907,11.946467204509844,1992.8488207599871,1.0,0.004218272183994769,0.04051186169433526,finished,True,True,,False,2.394709999905899
397098265_orbit0_radius1.5,397098265,20260907,11.946467204509844,1992.8488207599871,1.5,0.009491112413988232,0.04174727971153118,finished,True,True,,False,2.394770000129938
397098265_orbit1_radius0.8,397098265,20260907,11.010686803319212,1993.5810914280453,0.8,0.0026996941977566525,0.03894439377931963,finished,True,True,,False,2.409496541833505
397098265_orbit1_radius1,397098265,20260907,11.010686803319212,1993.5810914280453,1.0,0.004218272183994769,0.03942530828704543,finished,True,True,,False,2.5276199160143733
397098265_orbit1_radius1.5,397098265,20260907,11.010686803319212,1993.5810914280453,1.5,0.009491112413988232,0.04062759891314223,finished,True,True,,False,2.546330416109413
397098265_orbit2_radius0.8,397098265,20260907,7.279806162775784,1987.1652668055729,0.8,0.0026996941977566525,0.03392778623750876,finished,False,False,,False,2.5596268749795854
397098265_orbit2_radius1,397098265,20260907,7.279806162775784,1987.1652668055729,1.0,0.004218272183994769,0.03434676916645443,finished,True,True,,False,2.5480989578645676
397098265_orbit2_radius1.5,397098265,20260907,7.279806162775784,1987.1652668055729,1.5,0.009491112413988232,0.03539423307968323,finished,True,True,,False,2.4428408751264215
