tic,status,period_grid_searched,sectors,points,discovery_points,holdout_points,tmag,distance_pc,source_sha256
41317489,screened,True,2,5203,5203,0,13.26,34.42,2b6af9b01f66a375878b2d01af5a8cfbc4beb6653ed8db65d4c06281319f8c4f
415009765,screened,True,8,26859,7460,19399,13.11,23.36,ca2730d9d94c0093ac93d3a97b690d0e7b3540f04d4d4fae532bbda5d2acffa0
415707542,screened,True,7,23129,3866,19263,13.36,33.7,09750d569045e4765b7c23b21021ec7351b4c9d6c04a0be7b23274e9886a6829
416576682,screened,True,4,10439,5748,4691,11.93,21.54,2caa793bd9dd387ff8b93a20d04d068e754b2f24362e1f148305024f5113d563
416781089,screened,True,4,12703,5160,7543,12.34,29.48,a4a47dda5447143dc778e68f94a7e0c14b2207591d26f8f76d7d8407e800c9c5
417114341,screened,True,5,15445,6732,8713,11.82,20.51,b53215f96a8d441bbec386d5141ffbdb969cc23a4fbfe33c0e52b1ce185dae4b
417118702,screened,True,3,8349,5751,2598,13.08,36.02,8660caed210f2c1b8726e364c692152fbcf367c74da50a4605fa391de9815233
417153632,screened,True,2,4761,2775,1986,11.96,11.88,7021a0217f7472cd50e782dcdacadf1b494f3e8cc4f294c3864ae3852810b75d
417235334,screened,True,5,16065,6630,9435,13.97,47.41,6dbe0909ea455a5beb7d5d9d8ffe4b19f49f502fb6202acac9ebd070f7cfc239
417767357,screened,True,7,22883,7074,15809,11.94,20.85,b25caf9de4dea21908346e6a20e0c310dcca8e3089eab62d9e45e8f443bfd76c
417839594,screened,True,7,23614,7452,16162,11.59,25.74,2f6e2d0185af22cdff44badb454f1129200452c359640d28cbd8c5077f3e6c32
417919247,screened,True,6,20396,7081,13315,12.22,27.37,638f4876d4f7fa0ac00939b84fca6d5c2ad4132ebb1ce317cf279c6f3da34656
418223113,screened,True,9,29519,10421,19098,12.79,29.18,4c26264e40e2b126f00c350c8b0eb2eb50d66f29e6f256d083ffda8b8e71f57b
418289392,screened,True,5,16590,6826,9764,12.25,25.58,e24ab2f6b68dea624d20f52a8e341b211d575ed4b590dc72bcbafccd2c7d674f
418291587,screened,True,5,15817,6247,9570,13.15,33.91,acc59e7f6ca21a3a8c6bd359cf7a9f6ff24a9d22976d22e1aa72b4e941f261a3
420130591,screened,True,18,52955,28017,24938,11.87,10.63,567c543b7915fe247b65c2a345b3818a92983838c2c751bf201f54cf259a2803
420801158,screened,True,10,28687,6660,22027,11.91,23.68,4013b96ebe2008c32ca9be0360c1b71547c6061bb2533d0764ea5fd50471545e
421856903,screened,True,5,16962,7432,9530,13.87,42.57,a1400231666210d5ae22963f9545a6149f504e244b3edf2bd7151d80aa142902
422351737,screened,True,4,12445,3589,8856,13.05,18.21,5101105f3003962f11aecd84c5256c771cf3e8ad79e739392cdb22fcfe2d13c8
422846384,screened,True,4,11516,5431,6085,13.75,22.53,9447d78f11cffffc2909e9c1e97e3c698d68f9eb0c6e3e65aded94cd460b217c
423236614,screened,True,6,19133,6289,12844,13.64,39.47,935c6d013c440a92236cd34467c006044009bbc13edd80067fc397d6734e5f0e
424389265,screened,True,18,56575,28096,28479,13.15,23.23,dfdf7a6dbfaec58fe9e5458f08a32595ae965d085c5c12c83bc18ef616f15ee9
424801289,screened,True,4,10117,6490,3627,13.29,33.7,afb0d23139e449188a7a813f72a22c21b68f2ac8fb1cc733fe4d6aedd4cb1632
425717549,screened,True,4,11784,3446,8338,13.14,19.61,cb53134dfa788a73d98fbf557c3050af7f7b2a77acfa470108ab1ff7a2dce95a
427323148,screened,True,5,16815,7415,9400,12.28,26.04,a864eb75383bc9eaba4b3cbcb4e25e85cc84cc69f1a8d5d1e69b4086cdf1e365
427466954,screened,True,6,19975,7414,12561,12.71,22.31,6a542357d4669044f591baff030b2b3c6734815066043118c759361e3a040a56
427515821,screened,True,4,13319,7074,6245,13.87,38.74,f5571c773af5764f6dee03ab3d5f0f00ce5fece36e60f30ba058be87a92ab6f9
427809432,screened,True,6,19975,7414,12561,12.73,22.52,5426b3df528112a62b7ce5a1c5f4bd5d6897283954b6e19910ff00e8e1e02543
427919495,screened,True,3,8460,5185,3275,13.28,36.3,98cfba44adb258fc2bcfc9186f7c839d97765b7ed8064f6f886d1bc89628b87d
428681517,screened,True,7,21849,6515,15334,11.61,12.09,bd894b0e5c1b7a78b1dde720721e4e829722ce9e0e095784078a554d833ec503
428738405,screened,True,7,23019,7073,15946,12.38,31.25,a2a6cc71479919f5dcbf21bc43b76e6068e4b8b2df1a3b4f10791c5d6dc75fa6
429000467,screened,True,12,36468,10402,26066,12.48,18.93,2da9c88d9ba4502af01f7606b8bbd5b5f6bbb176531a9b56b8838ebd982d7b46
429759333,screened,True,4,13453,7435,6018,13.44,32.49,c4834c4517e7ab8cb2b353f77330013880194df619740c3b04d86a02937e0311
431383040,screened,True,15,47567,20434,27133,12.49,29.19,7441b78d02ddbdcda589f465de6627808af76ad4e7494b0b7a56469cffb9e6a7
434261118,screened,True,4,12977,6164,6813,13.99,20.78,b27be59e959be54a3dc6afd8b8f155ddb944d1f69a2690246ba1e8580193a7cc
436230630,screened,True,4,12173,5325,6848,13.91,33.24,2cef802c6922ccb712cf24aa67edeff05e19a914b55fab6f5cdfb09c55d9fd27
436631912,screened,True,4,13080,6235,6845,13.86,26.57,50a07caba681a6b132d9e98525cff6abe5887dd767ac871c4d30774dfff8486c
440955956,screened,True,3,7941,3189,4752,13.54,27.99,e7697afee84a293bb3081672015b4646feef2eaa04d4960774ab37e742ba0e19
441067400,screened,True,6,19759,6996,12763,12.99,28.31,e91b6be7fa8e45b1efba8183d6da1e788564ceb5266d0b407b62ddc5e735f106
441410570,screened,True,3,9644,3585,6059,13.58,29.73,fe3f60e663d6510260079d02775262e0acc982a40f05ae0ac36501c66b871f85
441466487,screened,True,4,12313,3667,8646,13.94,23.51,12c50323f0e02c85238b67153d39e3beeb02f19c84b58fab0a51fa74004184f8
441507745,screened,True,2,6152,3281,2871,13.3,23.52,54051c2847a00fd953ada47d05ab756b56288a52a5344736c36be7595890339b
441605415,screened,True,8,23376,4534,18842,11.56,25.4,1106bfeac98bb5ce23986511fad60d9b8131c8730ef3ff01075f3c601217fc23
441606549,screened,True,8,23568,4384,19184,13.39,36.64,bedd7963c6bc95e1e888215f12ca653d544f716fb78d820f74d28331b966e7a8
441628564,screened,True,5,15743,3863,11880,13.8,42.03,30f9a9b6ff712bbb78e733ed2677d9aea5bde97a3e2d26e8888d5baf3c120337
441662762,screened,True,4,12282,6284,5998,13.58,41.07,0559eb32d5476d04512f1d852e1bc1fee6a73614c3f62086980131672a756511
441664609,screened,True,5,15146,6513,8633,13.23,34.84,001f846b2e0a8c8e225af4b2182dc90d36054803d7f0b5cd08b30f53465265ea
441686652,screened,True,4,12094,6166,5928,11.53,22.94,3dce6ba28316341a381f6a533754199ad61f18586c79d9f43f71ac4ab520b12a
441721594,screened,True,18,54213,29081,25132,11.07,15.76,9bd7e3fdbad6666f9eb9e5c29c488acc8a2a1b0f24bf1437252cc2974b723c20
441740483,screened,True,18,54648,28102,26546,13.22,34.73,73588a8681c367fb35e271fb301a49435877755b2c7211378ea2f73cb240523e
441803471,screened,True,18,51746,27865,23881,11.47,15.57,96ae701c2cbe7b377ea912f34d16a00830f8118b5648df54476b8b7306b23c31
441811392,screened,True,18,53804,26459,27345,12.79,34.46,dce9052f0ba0569849b41b581455c4f42d9963758b02fda694cbc063deae38c8
442897934,screened,True,2,6268,6268,0,12.93,32.99,02130c9575e2a18ab49fb506f37d00b238ab2589a1617273c00dbdfa5b3d40a5
