tic,seed_iteration,period_days,epoch_btjd,duration_days,depth,radius_earth_estimate,irradiation_earth_estimate,nominal_training_snr,holdout_nominal_snr,holdout_events,flags,target_vetting_note
101955023,1,34.59627296651515,1555.412108827122,0.24903945125552032,0.0012684795266336636,0.7622744971654134,0.24432157183540038,11.224066485212074,-1.65271874343027,2,fewer_than_three_training_events;long_relative_to_circular_transit;not_recovered_in_sector_holdout;inconsistent_holdout_depth_signs,
101955023,2,43.8434361540311,1568.254594425581,0.24853709647491606,0.00099074992006009,0.6736769406554503,0.17815367627442993,9.655779503254418,0.0,0,outside_nominal_optimistic_hz;long_relative_to_circular_transit;insufficient_holdout_events,
142748283,1,30.100282974936928,1689.7288083987507,0.24704080568410713,0.004052681672553635,1.5154490073344187,0.35317254206592014,8.936497446853716,0.7945082004767143,1,long_relative_to_circular_transit;insufficient_holdout_events,
142748283,2,13.37438189226312,1683.607175585182,0.24702021677605343,0.0024968640909106715,1.1895084544201961,1.041636227696351,8.647366383133244,-0.7226296907250189,5,long_relative_to_circular_transit;not_recovered_in_sector_holdout;inconsistent_holdout_depth_signs,
147670988,1,47.657602404747486,1694.347822850259,0.21985268612489578,0.0005616349945482929,1.2214696105984828,0.7365648378979289,12.272766562151803,0.0,0,insufficient_holdout_events,
147670988,2,45.28147742209013,1689.508522293681,0.18288453835445592,0.00031064214542117524,0.9084180917176209,0.7885449434858347,8.166271786723941,1.2425256832224343,1,insufficient_holdout_events,
150428135,1,68.56438950989052,1372.7037350910339,0.25034107694345087,0.00038805094913159165,0.8883989046792385,0.380547372744914,8.914049845770451,-0.26913142290806774,1,insufficient_holdout_events,
150428135,2,47.98478726220531,1325.6519365423674,0.24811027986984796,0.00038873425466883605,0.8891807361562692,0.6124473797600148,8.754895682272291,0.04536752190267111,8,long_relative_to_circular_transit;not_recovered_in_sector_holdout;inconsistent_holdout_depth_signs;known_period_or_harmonic_requires_ephemeris_review,
198385543,1,81.02246566270713,1838.4869667350063,0.24857076603249814,0.002134324279205215,2.038098433860267,0.3013723879656114,10.7964892141604,-0.47655150859789036,2,fewer_than_three_training_events;outside_initial_small_planet_radius_range;not_recovered_in_sector_holdout;inconsistent_holdout_depth_signs,
198385543,2,74.56758068993487,1832.9696137822202,0.2476834436396539,0.0020106591303816258,1.9781725816087892,0.3366490005263938,10.168541869088438,1.1701745093331914,1,fewer_than_three_training_events;insufficient_holdout_events,
