tic,seed_iteration,period_days,epoch_btjd,duration_days,depth,radius_earth_estimate,irradiation_earth_estimate,nominal_training_snr,holdout_nominal_snr,holdout_events,flags,target_vetting_note
10149468,1,9.75191775252599,1905.7092232475984,0.03822,0.006151903885330831,1.1990751268963,0.5966504256895045,3.7777043946160016,-0.052759762682945535,1,low_nominal_training_snr;insufficient_holdout_events,
101717144,1,17.83042211497903,2001.2752213526196,0.22931999999999997,0.00299498567901985,0.9382328079772653,0.38445901540871646,6.607637404624786,-0.03319252836393547,2,fewer_than_three_discovery_events;dominated_by_one_discovery_event;long_relative_to_circular_transit;low_nominal_training_snr;not_recovered_in_final_holdout;inconsistent_holdout_depth_signs,
101717144,2,6.534274785319275,1988.8919413526196,0.22931999999999997,0.0016609270649064227,0.698696425099873,1.4660058067694095,6.739640937403346,1.399757725153871,4,long_relative_to_circular_transit;low_nominal_training_snr;not_recovered_in_final_holdout,
101717144,3,11.842514264160435,1996.8198613526197,0.22931999999999997,0.0018562388456987821,0.7386354863108002,0.663448159583434,5.0209244263695325,0.4223830687229122,2,dominated_by_one_discovery_event;long_relative_to_circular_transit;low_nominal_training_snr;not_recovered_in_final_holdout;inconsistent_holdout_depth_signs,
102678706,1,5.90762321784935,1818.754459789969,0.17198999999999998,0.004782645244436029,1.2611424460842326,1.654943986744877,11.478708843861956,-3.1510081047870955,6,outside_nominal_optimistic_hz;long_relative_to_circular_transit;not_recovered_in_final_holdout;inconsistent_holdout_depth_signs,
102678706,2,5.9452410163326785,1816.3506947899689,0.22931999999999997,0.004325510634778937,1.199357764291207,1.6409967855107517,11.807547777449745,8.992706704326578,8,outside_nominal_optimistic_hz;long_relative_to_circular_transit,
102678706,3,10.072549094151952,1821.696418112124,0.238875,0.0049289011884099815,1.280280452874578,0.8124833945160452,9.907749521620316,0.6017013972202426,4,dominated_by_one_discovery_event;odd_even_discrepancy;long_relative_to_circular_transit;not_recovered_in_final_holdout;inconsistent_holdout_depth_signs,
102678706,4,8.322795830173787,1816.918918112124,0.238875,0.004639656372372219,1.2421469209804088,1.0478715023703917,10.967246909287764,4.467321818748641,5,long_relative_to_circular_transit;not_recovered_in_final_holdout,
102903258,1,11.27035106764923,1684.3782870594098,0.29575,0.002433322351217541,1.3089398326826278,1.432258439162959,18.802065977967295,2.0577234589076165,7,dominated_by_one_discovery_event;long_relative_to_circular_transit;not_recovered_in_final_holdout,
102903258,2,12.99476084493545,1689.28091205941,0.29575,0.0027871589879436033,1.4008793477268937,1.184623273908495,17.098639440666528,0.29532207205207994,7,dominated_by_one_discovery_event;long_relative_to_circular_transit;not_recovered_in_final_holdout;inconsistent_holdout_depth_signs,
102903258,3,12.795574628588245,1687.4665995594098,0.170625,0.005988091724581263,2.0533552050866444,1.2092745795512707,16.335150902262455,1.021553367878151,6,outside_initial_small_planet_radius_range;long_relative_to_circular_transit;not_recovered_in_final_holdout,
102903258,4,12.852809206353163,1684.10665205941,0.07643999999999998,0.00676678187751861,2.1827849470261946,1.2020999196581823,10.63898697037567,2.1003267666163077,8,dominated_by_one_discovery_event;outside_initial_small_planet_radius_range;not_recovered_in_final_holdout,
103199821,1,12.806058303472822,1987.3438073773395,0.29575,0.0023200620731428905,0.9362318088300597,0.6972007914781545,7.441125419312593,-0.05955650064310466,4,long_relative_to_circular_transit;not_recovered_in_final_holdout;inconsistent_holdout_depth_signs,
103199821,2,20.995240298645186,1993.6626198773395,0.238875,0.0029190078382114117,1.0501497193906433,0.36064842360813815,6.2058059481768835,-1.1549254547594496,2,fewer_than_three_discovery_events;long_relative_to_circular_transit;low_nominal_training_snr;not_recovered_in_final_holdout;inconsistent_holdout_depth_signs,
103199821,3,9.092380966016604,1984.7503073773396,0.29575,0.002100405577249554,0.8908101801191898,1.1007153059925139,7.5886767073066475,3.5006775818950246,6,long_relative_to_circular_transit;not_recovered_in_final_holdout,
103199821,4,10.722893092370542,1985.0744948773395,0.238875,0.0019410277476737269,0.856346371713382,0.883410458268456,5.983818482459011,-0.2216117756454133,4,long_relative_to_circular_transit;low_nominal_training_snr;not_recovered_in_final_holdout;inconsistent_holdout_depth_signs,
103245015,1,9.453714134901999,1689.7093116171961,0.29575,0.003282166474825999,0.6318518539515628,0.30809383069692664,11.740364302007126,0.8932979498578411,3,dominated_by_one_discovery_event;long_relative_to_circular_transit;not_recovered_in_final_holdout,
103245015,2,4.897826337388171,1686.355506617196,0.22931999999999997,0.0026613144165783384,0.5689617291579779,0.7404262038189374,9.435904477701103,0.10918147353011216,6,long_relative_to_circular_transit;not_recovered_in_final_holdout;inconsistent_holdout_depth_signs,
103245015,3,13.177314285326595,1690.9491866171961,0.29575,0.003847063638066493,0.6840685855200084,0.1978717300052293,9.86948244080052,0.22927641268596405,2,odd_even_discrepancy;outside_nominal_optimistic_hz;long_relative_to_circular_transit;not_recovered_in_final_holdout;inconsistent_holdout_depth_signs,
103245015,4,3.838833298551372,1684.4313116171961,0.29575,0.002044771261485484,0.49872062349582,1.0245990575744903,8.680262447485935,1.809296948192362,6,outside_initial_small_planet_radius_range;long_relative_to_circular_transit;not_recovered_in_final_holdout,
103298945,1,16.42458537228742,1992.5650342768035,0.29575,0.0019993546207244285,1.0741901951136823,0.799402322906795,8.129816498418984,-0.037555255373092976,4,long_relative_to_circular_transit;not_recovered_in_final_holdout;inconsistent_holdout_depth_signs,
103298945,2,13.952537973742476,1993.8845342768036,0.29575,0.0015980042657520272,0.960340480505348,0.9936200387487685,7.557877877020832,0.8490081138020957,4,dominated_by_one_discovery_event;long_relative_to_circular_transit;not_recovered_in_final_holdout,
103298945,3,12.36428803281966,1989.3768492768036,0.17198999999999998,0.0016515306105539759,0.9762916668235327,1.1673447673435333,5.678643842284668,-0.41866743887493113,3,long_relative_to_circular_transit;low_nominal_training_snr;not_recovered_in_final_holdout;inconsistent_holdout_depth_signs,
103581155,1,18.460494454310258,1690.4775402988366,0.22931999999999997,0.0007592757339693756,0.5747073020245221,0.4838236847562007,8.320043635213084,0.7388208555652811,4,long_relative_to_circular_transit;not_recovered_in_final_holdout;inconsistent_holdout_depth_signs,
103581155,2,8.068691710759735,1687.3566952988367,0.16562,0.0005599872938937783,0.4935555518403104,1.458615196657271,7.2278943427192415,-2.770966957400344,12,outside_initial_small_planet_radius_range;long_relative_to_circular_transit;not_recovered_in_final_holdout;inconsistent_holdout_depth_signs,
103581155,3,10.16443325455476,1691.3037852988366,0.14994000000000002,0.0006166677276724925,0.5179317866420096,1.072096814869211,6.857740547041525,0.16179820979950754,9,long_relative_to_circular_transit;low_nominal_training_snr;not_recovered_in_final_holdout;inconsistent_holdout_depth_signs,
103581155,4,18.097949360556246,1692.3639702988366,0.05095999999999999,0.0009572915646346302,0.6453110042634657,0.4967894968047626,5.196953062885516,-0.12440262163335511,5,low_nominal_training_snr;not_recovered_in_final_holdout,
