tic,iteration,period_days,epoch_btjd,duration_days,depth,radius_earth_estimate,irradiation_earth_estimate,nominal_snr,holdout_nominal_snr,flags
10149468,1,9.741041199675665,1905.7204932475986,0.039,0.005614804943177569,1.1455365755778637,0.5975388601143854,2.5951952838024135,-0.689902155004196,insufficient_holdout_events;low_nominal_snr
101717144,1,17.892845987058546,2001.2493913526196,0.17550000000000002,0.004689567418675339,1.174031182660992,0.38267167501047283,6.498939198919659,-0.45655664789742084,fewer_than_three_discovery_events;dominated_by_one_event;long_relative_to_circular_transit;insufficient_holdout_events;low_nominal_snr
101717144,2,6.519868816051607,1988.9643913526197,0.17550000000000002,0.0017332857476075633,0.7137536187463132,1.4703263452566686,5.008120196344783,3.622698032971124,long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris;low_nominal_snr
101717144,3,11.722211860187986,1995.0123913526197,0.17550000000000002,0.00203802306590062,0.773958702101683,0.6725420767803305,4.409747443285876,0.9030478075073618,long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris;low_nominal_snr
102678706,1,5.923738577114368,1984.068508072722,0.17550000000000002,0.007095557306155399,1.5361135316146284,1.6489437406181928,10.521483472071374,3.0546479795418726,outside_nominal_optimistic_hz;long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris
102678706,2,5.925774272405,1985.8505080727218,0.17550000000000002,0.007222907901524807,1.5498372595861136,1.6481884964601714,10.598463476806483,3.1540513554403535,odd_even_discrepancy;outside_nominal_optimistic_hz;long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris
102678706,3,10.064656361759841,1988.8471330727218,0.24375,0.007450790839363252,1.5740961071595247,0.8133330412765103,10.367530921967779,-4.099424553349576,long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris
102678706,4,8.32220253061933,1986.3533830727217,0.24375,0.006824555227641643,1.5064934065180977,1.0479711088675983,9.551432556205047,1.6389721748800206,long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris
102903258,1,11.165091262342164,2394.5362814514942,0.24375,0.0010025076269786883,0.8401632947376761,1.4502903123863067,5.466768984054166,1.8310354563547109,long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris;low_nominal_snr
102903258,2,12.945674053387982,2391.0300314514943,0.24375,0.0012112620850041563,0.9235043021112023,1.1906161198632685,5.35003583759114,-1.7092705382558937,fewer_than_three_discovery_events;dominated_by_one_event;long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris;low_nominal_snr
