id,tic,seed,period_days,epoch_btjd,radius_earth,depth,duration_days,status,recovered_in_top3,recovered_in_search,maximum_trial_fits,recovered_with_strict_holdout,elapsed_seconds
219223742_orbit0_radius0.8,219223742,20260909,20.02003953920223,1395.9009920832318,0.8,0.0029449997446145395,0.04624939135207735,finished,True,True,,True,4.55213962495327
219223742_orbit0_radius1,219223742,20260909,20.02003953920223,1395.9009920832318,1.0,0.0046015621009602185,0.046844570985485764,finished,True,True,,True,4.562307583866641
219223742_orbit0_radius1.5,219223742,20260909,20.02003953920223,1395.9009920832318,1.5,0.010353514727160493,0.04833252246785995,finished,True,True,,True,4.516146874986589
219223742_orbit1_radius0.8,219223742,20260909,6.2359312095082835,1387.9461608606543,0.8,0.0029449997446145395,0.031352377354442,finished,True,True,,True,4.4898975000251085
219223742_orbit1_radius1,219223742,20260909,6.2359312095082835,1387.9461608606543,1.0,0.0046015621009602185,0.03175588451469209,finished,True,True,,True,4.560405958909541
219223742_orbit1_radius1.5,219223742,20260909,6.2359312095082835,1387.9461608606543,1.5,0.010353514727160493,0.03276466011982589,finished,True,True,,True,4.515967291081324
219223742_orbit2_radius0.8,219223742,20260909,14.688421963137515,1388.7017492547463,0.8,0.0029449997446145395,0.041713697773755005,finished,True,True,,True,5.019400791963562
219223742_orbit2_radius1,219223742,20260909,14.688421963137515,1388.7017492547463,1.0,0.0046015621009602185,0.04225051448666027,finished,True,True,,True,5.0173657920677215
219223742_orbit2_radius1.5,219223742,20260909,14.688421963137515,1388.7017492547463,1.5,0.010353514727160493,0.04359255953869758,finished,True,True,,True,4.721919166855514
232970271_orbit0_radius0.8,232970271,20260909,7.39088700443866,1875.0525352863237,0.8,0.00460156210096022,0.02875733823066643,finished,False,False,,False,2.769140041898936
232970271_orbit0_radius1,232970271,20260909,7.39088700443866,1875.0525352863237,1.0,0.0071899407827503425,0.029214075861186538,finished,True,True,,True,2.692421916872263
232970271_orbit0_radius1.5,232970271,20260909,7.39088700443866,1875.0525352863237,1.5,0.01617736676118827,0.030355926411356517,finished,True,True,,True,2.7440905410330743
232970271_orbit1_radius0.8,232970271,20260909,8.728832083427662,1874.2532597129975,0.8,0.00460156210096022,0.03039711325698076,finished,False,False,,False,2.5796855420339853
232970271_orbit1_radius1,232970271,20260909,8.728832083427662,1874.2532597129975,1.0,0.0071899407827503425,0.030879888036651194,finished,False,False,,False,2.6372332922182977
232970271_orbit1_radius1.5,232970271,20260909,8.728832083427662,1874.2532597129975,1.5,0.01617736676118827,0.032086830467048084,finished,True,True,,True,2.7952266249340028
232970271_orbit2_radius0.8,232970271,20260909,6.004056593169518,1874.5378384609107,0.8,0.00460156210096022,0.02683300808381485,finished,False,False,,False,2.7413203748874366
232970271_orbit2_radius1,232970271,20260909,6.004056593169518,1874.5378384609107,1.0,0.0071899407827503425,0.027259191848236743,finished,True,True,,True,2.6015606250148267
232970271_orbit2_radius1.5,232970271,20260909,6.004056593169518,1874.5378384609107,1.5,0.01617736676118827,0.0283246592293076,finished,True,True,,True,2.389089207863435
397098265_orbit0_radius0.8,397098265,20260909,6.774164000028315,1984.4048934929099,0.8,0.0026996941977566525,0.03312350134809834,finished,True,True,,True,3.2799550420604646
397098265_orbit0_radius1,397098265,20260909,6.774164000028315,1984.4048934929099,1.0,0.004218272183994769,0.03353255595705164,finished,True,True,,True,3.353758707875386
397098265_orbit0_radius1.5,397098265,20260909,6.774164000028315,1984.4048934929099,1.5,0.009491112413988232,0.034555199562577174,finished,True,True,,True,3.472204208141193
397098265_orbit1_radius0.8,397098265,20260909,9.60013384463023,1984.6710607094135,0.8,0.0026996941977566525,0.03720502757582116,finished,True,True,,True,3.504320790991187
397098265_orbit1_radius1,397098265,20260909,9.60013384463023,1984.6710607094135,1.0,0.004218272183994769,0.03766446823974304,finished,True,True,,True,3.502725458936766
397098265_orbit1_radius1.5,397098265,20260909,9.60013384463023,1984.6710607094135,1.5,0.009491112413988232,0.038813074896731296,finished,True,True,,True,3.5671993328724056
397098265_orbit2_radius0.8,397098265,20260909,8.116928961147748,1986.2760388308611,0.8,0.0026996941977566525,0.035181150506428796,finished,True,True,,True,3.4958025000523776
397098265_orbit2_radius1,397098265,20260909,8.116928961147748,1986.2760388308611,1.0,0.004218272183994769,0.035615605854884255,finished,True,True,,True,3.555292167002335
397098265_orbit2_radius1.5,397098265,20260909,8.116928961147748,1986.2760388308611,1.5,0.009491112413988232,0.036701750136796926,finished,True,True,,True,3.568111832952127
